Types	Questions	Answers	PlayerName	SportCategory	Context	Popularity	Unnamed: 0
1006	Identify the number of times Deepika Kumari won medals in three consecutive iterations of an event, with the sequence being a bronze, followed by silver, and then gold medal.	2	Deepika Kumari		"Deepika Kumari

Personal Information
Birth Date
1994-06-13	

Birth Place
Ratu Chatti, 	

Height

Weight
56 kg	

Coach
	

Country Representing: IND
World Championships
Women's Team	MedalSilver | 2011 | Torino, MedalSilver | 2015 | Copenhagen

Asian Championships
Mixed Team	MedalBronze | 2019 | Bangkok, MedalBronze | 2015 | Bangkok, MedalGold | 2013 | Taipei
Team	MedalBronze | 2019 | Bangkok
Recurve Team	MedalSilver | 2015 | Bangkok, MedalSilver | 2011 | Tehran

World Cup
Women's Individual 	MedalGold | 2021 | Guatemala City

Commonwealth Games
Recurve individual	MedalGold | 2010 | Delhi
Recurve team	MedalGold | 2010 | Delhi

Asian Games
Recurve team	MedalBronze | 2010 | Guangzhou

"		2314.0
5	In which format(s) is Huang Yaqiong most succesfull ?	Mixed doubles	Huang Yaqiong	Badminton	"Huang Yaqiong

Personal Information
Birth Date
1994-2-28	

Birth Place
Quzhou	

Height
1.65 m	

Years Active

Handedness
Right	

Coach
	

Country Representing: CHN
Olympic Games
Mixed doubles	MedalSilver | 2020 | Tokyo

World Championships
Mixed doubles	MedalGold | 2018 | Nanjing, MedalGold | 2019 | Basel, MedalGold | 2022 | Tokyo, MedalSilver | 2023 | Copenhagen

Sudirman Cup
Mixed team 	MedalGold | 2019 | Nanning, MedalGold | 2023 | Suzhou, MedalSilver | 2017 | Gold Coast

Uber Cup
Women's team 	MedalBronze | 2018 | Bangkok

Asian Games
Mixed doubles	MedalGold | 2018 | Jakarta, MedalGold | 2022 | Hangzhou
Women's team	MedalSilver | 2018 | Jakarta, MedalSilver | 2022 | Hangzhou

Asian Championships
Mixed doubles 	MedalGold | 2017 | Wuhan, MedalGold | 2022 | Manila, MedalSilver | 2023 | Dubai, MedalBronze | 2018 | Wuhan, MedalBronze | 2019 | Wuhan, MedalBronze | 2024 | Ningbo

World Junior Championships
Mixed team	MedalGold | 2012 | Chiba
Girls' doubles	MedalSilver | 2012 | Chiba
Mixed doubles	MedalBronze | 2012 | Chiba

Asian Junior Championships
Mixed team 	MedalGold | 2011 | Lucknow, MedalSilver | 2012 | Gimcheon
Girls' doubles 	MedalSilver | 2012 | Gimcheon

"	Neutral	
77	In which city did Zheng Yu win his/her first International medal ?	Bangkok	Zheng Yu	Badminton	"Zheng Yu

Personal Information
Birth Date
1996-2-7	

Birth Place
Shandong	

Height
1.75 m	

Weight

Years Active

Handedness
Right	

Coach
	

Date Of Highest Ranking
with 	

Country Representing: CHN
World Championships
Women's doubles	MedalBronze | 2023 | Copenhagen

Sudirman Cup
Mixed team 	MedalGold | 2021 | Vantaa, MedalGold | 2023 | Suzhou

Uber Cup
Women's team 	MedalGold | 2020 | Aarhus, MedalGold | 2024 | Chengdu, MedalSilver | 2022 | Bangkok, MedalBronze | 2018 | Bangkok

Asian Games
Women's team	MedalSilver | 2018 | Jakarta, MedalSilver | 2022 | Hangzhou

Asian Championships
Women's doubles 	MedalSilver | 2024 | Ningbo

Asia Team Championships
Women's team 	MedalSilver | 2018 | Alor Setar

World Junior Championships
Mixed team	MedalGold | 2012 | Chiba

Asian Junior Championships
Mixed team 	MedalGold | 2011 | Lucknow

"	Neutral	
40	How many World Championships (LC) appearances/wins does Simona Quadarella have ?	6	Simona Quadarella	Swimming	"Simona Quadarella

Personal Information
Coach
Christian Minotti	

Birth Date
1998-12-18	

Birth Place
Rome	

Height
1.70 m	

Weight
63  kg	

Country Representing: ITA
Olympic Games
800 m freestyle	MedalBronze | 2020 | Tokyo

World Championships (LC)
1500 m freestyle	MedalGold | 1500 | m freestyle, MedalSilver | 1500 | m freestyle, MedalBronze | 1500 | m freestyle
800 m freestyle	MedalGold | 2024 | Doha, MedalSilver | 2019 | Gwangju, MedalBronze | 2022 | Budapest

World Championships (SC)
800 m freestyle	MedalSilver | 2018 | Hangzhou, MedalBronze | 2021 | Abu Dhabi

European Championships (LC)
400 m freestyle	MedalGold | 2018 | Glasgow, MedalGold | 2020 | Budapest, MedalSilver | 2022 | Rome
800 m freestyle	MedalGold | 2018 | Glasgow, MedalGold | 2020 | Budapest, MedalGold | 2022 | Rome
1500 m freestyle	MedalGold | 1500 | m freestyle
4x200 m freestyle	MedalBronze | 2020 | Budapest

European Championships (SC)
400 m freestyle	MedalGold | 2019 | Glasgow
800 m freestyle	MedalGold | 2019 | Glasgow, MedalSilver | 2021 | Kazan, MedalBronze | 2017 | Copenhagen
1500 m freestyle	MedalSilver | 1500 | m freestyle

"	Neutral	
38	In which year(s) did Liselott Linsenhoff win medals in the Olympic Games ?	1972, 1956, 1968	Liselott Linsenhoff	Dressage	"Liselott Linsenhoff

Personal Information
Birth Date

Birth Place
Frankfurt am Main	

Height

Weight
65 kg	

Country Representing: EUA
Olympic Games
Team dressage	MedalSilver | 1956 | Stockholm, MedalGold | 1968 | Mexico City, MedalSilver | 1972 | Munich
Individual dressage	MedalBronze | 1956 | Stockholm, MedalGold | 1972 | Munich

Country Representing: FRG
World championships
Team dressage	MedalGold | 1974 | Copenhagen, MedalSilver | 1970 | Aachen
Individual dressage	MedalSilver | 1970 | Aachen, MedalSilver | 1974 | Copenhagen

European championships
Individual dressage	MedalGold | 1969 | Wolfsburg, MedalGold | 1971 | Wolfsburg
Team dressage	MedalGold | 1969 | Wolfsburg, MedalGold | 1971 | Wolfsburg, MedalGold | 1973 | Aachen

"	Neutral	
13	How many International Bronze Medals did Yohan Blake win throughout his/her career?	5	Yohan Blake	Sprint	"Yohan Blake

Personal Information
Birth Date
1989-12-26	

Birth Place
St	

Height

Weight
0 kg	

Coach
	

Country Representing: JAM
Olympic Games
4x100 m relay	MedalGold | 2012 | London, MedalGold | 2016 | Rio de Janeiro
100 m	MedalSilver | 2012 | London
200 m	MedalSilver | 2012 | London

World Championships
100 m	MedalGold | 2011 | Daegu
4x100 m relay	MedalGold | 2011 | Daegu

Commonwealth Games
100 m	MedalBronze | 2018 | Gold Coast
4x100 m relay	MedalBronze | 2018 | Gold Coast

World Relays
4x100 m	MedalGold | 2014 | Bahamas
4x200 m	MedalGold | 2014 | Bahamas, MedalBronze | 2017 | Bahamas

World Junior Championships
4x100 m relay	MedalGold | 2006 | Beijing, MedalSilver | 2008 | Bydgoszcz
100 m	MedalBronze | 2006 | Beijing

Pan American Junior Championships
100 m	MedalSilver | 2007 | São Paulo
4x400 m relay	MedalBronze | 2007 | São Paulo

CAC Junior Championships
100 m	MedalGold | 2006 | Port of Spain
200 m	MedalGold | 2006 | Port of Spain
4x100 m relay	MedalGold | 2006 | Port of Spain

CARIFTA Games
200 m	MedalGold | 2006 | Les Abymes, MedalGold | 2005 | Bacolet
4x100 m relay	MedalGold | 2006 | Les Abymes, MedalGold | 2007 | Providenciales
100 m	MedalGold | 2007 | Providenciales, MedalGold | 2008 | Basseterre, MedalGold | 2005 | Bacolet

Continental Cup
4x100 m	MedalGold | 2018 | Ostrava

"	Neutral	
52	How many International medals did Wang Zhiyi win in the  2024  ?	2	Wang Zhiyi	Badminton	"Wang Zhiyi

Personal Information
Birth Date
2000-4-29	

Birth Place
Shashi, Jingzhou	

Height
1.71 m	

Weight
65  kg	

Years Active

Handedness

Coach
Luo Yigang	

Country Representing: CHN
Sudirman Cup
Mixed team 	MedalGold | 2021 | Vantaa, MedalGold | 2023 | Suzhou

Uber Cup
Women's team 	MedalGold | 2020 | Aarhus, MedalGold | 2024 | Chengdu, MedalSilver | 2022 | Bangkok

Asian Games
Women's team	MedalSilver | 2022 | Hangzhou

Asian Championships
Women's singles 	MedalGold | 2022 | Manila, MedalGold | 2024 | Ningbo

Youth Olympic Games
Girls' singles	MedalSilver | 2018 | Buenos Aires

World Junior Championships
Mixed team	MedalGold | 2017 | Yogyakarta, MedalGold | 2018 | Markham
Girls' singles	MedalBronze | 2018 | Markham

Asian Junior Championships
Girls' singles	MedalGold | 2018 | Jakarta
Mixed team 	MedalGold | 2018 | Jakarta

"	Neutral	
1003	Determine the number of instances where Takeshi Kawamoto won a medal of a different color than the previous iteration of the same event.	2	Takeshi Kawamoto		"Takeshi Kawamoto

Personal Information
Birth Date
1995-2-19	

Birth Place
Seto, Aichi	

Height

Weight

Country Representing: JPN
World Swimming Championships (SC)
4x100 m medley	MedalBronze | 2016 | Windsor, MedalBronze | 2018 | Hangzhou
4x50 m mixed medley	MedalBronze | 2016 | Windsor

Asian Championships
50 m backstroke	MedalSilver | 2012 | Dubai
100 m backstroke	MedalSilver | 2012 | Dubai, MedalBronze | 2016 | Tokyo
4x100 m freestyle	MedalSilver | 2012 | Dubai
4x100 m medley	MedalSilver | 2012 | Dubai, MedalSilver | 2016 | Tokyo
100 m butterfly	MedalSilver | 2016 | Tokyo, MedalBronze | 2012 | Dubai
50 m butterfly	MedalBronze | 2016 | Tokyo

Junior Pan Pacific Championships
4x100 m medley	MedalGold | 2012 | Honolulu
100 m backstroke	MedalBronze | 2012 | Honolulu
4x100 m freestyle	MedalBronze | 2012 | Honolulu

"		1247.0
27	How many medals did Daniele Garozzo win in the Team European Championships ?	6	Daniele Garozzo	Fencing	"Daniele Garozzo

Personal Information
Birth Date
1992-8-4	

Birth Place
Acireale	

Height
1.78 m	

Weight

Coach
Andrea Cipressa	
	
Fabio Galli	

Country Representing: ITA
Olympic Games
Individual	MedalGold | 2016 | Rio de Janeiro, MedalSilver | 2020 | Tokyo

World Championships
Team	MedalGold | 2015 | Moscow, MedalGold | 2017 | Leipzig, MedalGold | 2018 | Wuxi, MedalGold | 2022 | Cairo, MedalBronze | 2019 | Budapest
Individual	MedalBronze | 2017 | Leipzig

European Games
Team	MedalGold | 2023 | Kraków

European Championships
Individual	MedalGold | 2017 | Tbilisi, MedalGold | 2022 | Antalya, MedalSilver | 2015 | Montreux, MedalSilver | 2018 | Novi Sad, MedalSilver | 2019 | Düsseldorf
Team	MedalGold | 2022 | Antalya, MedalGold | 2023 | Kraków, MedalSilver | 2016 | Toruń, MedalSilver | 2018 | Novi Sad, MedalBronze | 2017 | Tbilisi, MedalBronze | 2019 | Düsseldorf

"	Neutral	
68	Does Burak Uygur have more Bronze Medals than Gold Medals ?	No	Burak Uygur	Karate	"Burak Uygur

Personal Information
Birth Date
1995-04-14	

Birth Place
	

Height

Weight
67  kg	

Country Representing: TUR
World Championships
Team kumite	MedalSilver | 2018 | Madrid

European Games
Kumite 67 kg	MedalGold | 2015 | Baku

European Championships
Kumite 67 kg	MedalGold | 2017 | İzmit, MedalGold | 2018 | Novi Sad, MedalGold | 2022 | Gaziantep, MedalSilver | 2015 | Istanbul, MedalBronze | 2023 | Guadalajara
Team kumite	MedalGold | 2018 | Novi Sad, MedalGold | 2019 | Guadalajara

Mediterranean Games
Kumite 67 kg	MedalSilver | 2018 | Tarragona

"	Neutral	
58	How many medals did Sadriddin Saymatov win in his mid twenties ?	3	Sadriddin Saymatov	Karate	"Sadriddin Saymatov

Personal Information
Birth Date
1997-7-28	

Birth Place
	

Years Active

Height

Weight

Coach

Country Representing: UZB
Asian Games
Kumite 60 kg	MedalBronze | 2018 | Jakarta

Islamic Solidarity Games
Kumite 60 kg 	MedalGold | 2017 | Baku
Kumite 67 kg 	MedalGold | 2021 | Konya

Asian Championships
Kumite 60 kg 	MedalGold | 2019 | Tashkent, MedalSilver | 2017 | Astana, MedalBronze | 2018 | Amman
Kumite 67 kg 	MedalBronze | 2022 | Tashkent
Team kumite 	MedalBronze | 2022 | Tashkent

"	Neutral	
19	Which city did Kathleen Dawson win his/her first International Gold Medals ?	London	Kathleen Dawson	Swimming	"Kathleen Dawson

Personal Information
Coach
Bradley Hay, Steven Tigg	

Birth Date
1997-10-3	

Birth Place
Kirkcaldy	

Height
173 cm	

Weight
64  kg	

Country Representing: GBR2
Olympic Games
4x100 m mixed medley	MedalGold | 2020 | Tokyo

European Championships (LC)
4x100 m medley	MedalGold | 2016 | London, MedalGold | 2020 | Budapest, MedalBronze | 2018 | Glasgow
100 m backstroke	MedalGold | 2020 | Budapest, MedalBronze | 2016 | London
4x100 m mixed medley	MedalGold | 2020 | Budapest
50 m backstroke	MedalSilver | 2020 | Budapest

"	Neutral	
58	How many medals did Lee Kiefer win in his mid twenties ?	8	Lee Kiefer	Fencing	"Lee Kiefer

Personal Information
Birth Date
1994-6-15	

Birth Place
Cleveland	

Height
1.63 m	

Weight
49  kg	

Coach
Amgad Khazbak	

Country Representing: USA
Olympic Games
Individual	MedalGold | 2020 | Tokyo

World Championships
Team	MedalGold | 2018 | Wuxi, MedalSilver | 2017 | Leipzig, MedalSilver | 2022 | Cairo, MedalBronze | 2019 | Budapest
Individual	MedalBronze | 2011 | Catania, MedalBronze | 2022 | Cairo, MedalBronze | 2023 | Milan

Pan American Games
Individual	MedalGold | 2011 | Guadalajara, MedalGold | 2015 | Toronto, MedalGold | 2019 | Lima, MedalGold | 2023 | Santiago
Team	MedalGold | 2011 | Guadalajara, MedalGold | 2019 | Lima, MedalGold | 2023 | Santiago, MedalSilver | 2015 | Toronto

Pan American Championships
Individual	MedalGold | 2010 | San José, MedalGold | 2011 | Reno, MedalGold | 2012 | Cancún, MedalGold | 2013 | Cartagena, MedalGold | 2014 | San José, MedalGold | 2015 | Santiago, MedalGold | 2016 | Panama City, MedalGold | 2017 | Montreal, MedalGold | 2018 | Havana, MedalGold | 2023 | Lima, MedalSilver | 2022 | Asunción
Team	MedalGold | 2010 | San José, MedalGold | 2011 | Reno, MedalGold | 2012 | Cancún, MedalGold | 2013 | Cartagena, MedalGold | 2014 | San José, MedalGold | 2015 | Santiago, MedalGold | 2016 | Panama City, MedalGold | 2017 | Montreal, MedalGold | 2018 | Havana, MedalGold | 2019 | Toronto, MedalSilver | 2022 | Asunción, MedalSilver | 2023 | Lima

"	Popular	
1002	How many times did Christophe Lemaitre win a gold medal in an event, followed by any other medal in the same event?	3	Christophe Lemaitre		"Christophe Lemaitre

Personal Information
Birth Date
1990-6-11	

Birth Place
Annecy	

Height
1.90 m	

Weight
82  kg	

Country Representing: FRA
Olympic Games
4x100 m relay	MedalBronze | 2012 | London
200 m	MedalBronze | 2016 | Rio de Janeiro

World Championships
4x100 m relay	MedalSilver | 2011 | Daegu
200 m	MedalBronze | 2011 | Daegu

European Championships
100 m	MedalGold | 2010 | Barcelona, MedalGold | 2012 | Helsinki, MedalSilver | 2014 | Zürich
200 m	MedalGold | 2010 | Barcelona, MedalSilver | 2014 | Zürich
4x100 m relay	MedalGold | 2010 | Barcelona, MedalBronze | 2012 | Helsinki, MedalBronze | 2014 | Zürich

European Indoor Championships
60 m	MedalBronze | 2011 | Paris

World Junior Championships
200 m	MedalGold | 2008 | Bydgoszcz

European Junior Championships
100 m	MedalGold | 2009 | Novi Sad

Continental Cup
100 m	MedalGold | 2010 | Split
4x100 m relay	MedalSilver | 2014 | Marrakech

"		452.0
69	Does Nouran Gohar have more Silver Medals than Bronze Medals in World Championships ?	No	Nouran Gohar	Squash	"Nouran Gohar

Personal Information
Birth Date
1997-9-30	

Birth Place
Egypt	

Height
167 cm	

Weight
59  kg	

Coach
Omar Abd El Aziz, Karim Darwish	

Years Active

Date Of Highest Ranking
October 2020	

Country Representing: EGY
World Championships
Singles 	MedalGold | 2024 | Cairo, MedalSilver | 2022 | Cairo, MedalSilver | 2023 | Chicago, MedalBronze | 2015 | Kuala Lumpur, MedalBronze | 2016 | El Gouna

World Team Championships
Team	MedalGold | 2016 | Issy, MedalGold | 2018 | Dalian, MedalGold | 2022 | Cairo

"	Neutral	
36	At what age did Loh Kean Yew win his/her most recent SEA Games Silver Medals ?	24	Loh Kean Yew	Badminton	"Loh Kean Yew

Personal Information
Birth Date
1997-6-26	

Birth Place
Penang	

Height
1.75 m	

Weight
68  kg	

Handedness
Right	

Coach
Kelvin Ho	

Career Record
225 wins, 127 losses	

Date Of Highest Ranking
8 November 2022	

Country Representing: SGP
World Championships
Men's singles	MedalGold | 2021 | Huelva

Commonwealth Games
Mixed team	MedalBronze | 2022 | Birmingham

Asian Championships
Men's singles 	MedalSilver | 2023 | Dubai

Asia Team Championships
Men's team	MedalBronze | 2022 | Selangor

SEA Games
Men's singles	MedalSilver | 2019 | Philippines, MedalSilver | 2021 | Vietnam, MedalBronze | 2015 | Singapore
Men's team	MedalBronze | 2015 | Singapore, MedalBronze | 2017 | Kuala Lumpur, MedalBronze | 2019 | Philippines, MedalBronze | 2021 | Vietnam, MedalBronze | 2023 | Cambodia

"	Neutral	
1006	Identify the number of times Deepika Kumari won medals in three consecutive iterations of an event, with the sequence being a bronze, followed by silver, and then gold medal.	2	Deepika Kumari		"Deepika Kumari

Personal Information
Birth Date
1994-06-13	

Birth Place
Ratu Chatti, 	

Height

Weight
56 kg	

Coach
	

Country Representing: IND
World Championships
Women's Team	MedalSilver | 2011 | Torino, MedalSilver | 2015 | Copenhagen

Asian Championships
Mixed Team	MedalBronze | 2019 | Bangkok, MedalBronze | 2015 | Bangkok, MedalGold | 2013 | Taipei
Team	MedalBronze | 2019 | Bangkok
Recurve Team	MedalSilver | 2015 | Bangkok, MedalSilver | 2011 | Tehran

World Cup
Women's Individual 	MedalGold | 2021 | Guatemala City

Commonwealth Games
Recurve individual	MedalGold | 2010 | Delhi
Recurve team	MedalGold | 2010 | Delhi

Asian Games
Recurve team	MedalBronze | 2010 | Guangzhou

"		2314.0
74	How many times did Simon Gauzy win an International medal in the European Championships before  2024  ?	5	Simon Gauzy	TableTennis	"Simon Gauzy

Personal Information
Birth Date
1994-10-25	

Birth Place
Toulouse	

Height
1.82 m	

Country Representing: FRA
World Championships
Team	MedalSilver | 2024 | Busan

European Games
Team	MedalSilver | 2015 | Baku, MedalBronze | 2023 | Kraków

European Championships
Singles	MedalSilver | 2016 | Budapest
Team	MedalBronze | 2015 | Ekaterinburg, MedalBronze | 2017 | Luxembourg City, MedalBronze | 2019 | Nantes
Mixed doubles	MedalBronze | 2020 | Warsaw

Youth Olympic Games
Singles	MedalBronze | 2010 | Singapore

"	Neutral	
1003	Determine the number of instances where Ysaora Thibus won a medal of a different color than the previous iteration of the same event.	6	Ysaora Thibus		"Ysaora Thibus

Personal Information
Birth Date
1991-8-22	

Birth Place
Les Abymes	

Height
1.74 m	

Weight
56  kg	

Coach
	

Country Representing: FRA
Olympic Games
Team	MedalSilver | 2020 | Tokyo

World Championships
Individual	MedalGold | 2022 | Cairo, MedalSilver | 2018 | Wuxi, MedalBronze | 2017 | Leipzig
Team	MedalSilver | 2013 | Budapest, MedalSilver | 2023 | Milan, MedalBronze | 2014 | Kazan, MedalBronze | 2015 | Moscow, MedalBronze | 2016 | Rio de Janeiro, MedalBronze | 2018 | Wuxi, MedalBronze | 2022 | Cairo

European Games
Team	MedalSilver | 2023 | Kraków

European Championships
Team	MedalSilver | 2012 | Legnano, MedalSilver | 2013 | Zagreb, MedalSilver | 2019 | Düsseldorf, MedalSilver | 2022 | Antalya, MedalSilver | 2023 | Kraków, MedalBronze | 2014 | Strasbourg, MedalBronze | 2015 | Montreux, MedalBronze | 2016 | Torún, MedalBronze | 2018 | Novi Sad
Individual	MedalBronze | 2013 | Zagreb, MedalBronze | 2017 | Tbilisi, MedalBronze | 2019 | Düsseldorf, MedalBronze | 2022 | Antalya

Universiade
Team	MedalBronze | 2011 | Shenzhen

"		1096.0
38	In which year(s) did Tyson Gay win medals in the World Relays ?	2015	Tyson Gay	Sprint	"Tyson Gay

Personal Information
Birth Date
1982-08-09	

Birth Place
Lexington, Kentucky	

Height

Weight
0 kg	

Coach
John Smith	

Country Representing: USA
World Championships
100 m	MedalGold | 2007 | Osaka, MedalSilver | 2009 | Berlin
200 m	MedalGold | 2007 | Osaka
4x100 m relay	MedalGold | 2007 | Osaka

World Cup
100 m	MedalGold | 2006 | Athens
4x100 m relay	MedalGold | 2006 | Athens

World Relays
4x100 m relay	MedalGold | 2015 | Nassau

World Athletics Final
200 m	MedalGold | 2005 | Monaco, MedalGold | 2006 | Stuttgart
100 m	MedalGold | 2009 | Thessaloniki, MedalBronze | 2006 | Stuttgart

Diamond League Final
100 m	MedalGold | 2010 | Brussels

NACAC U
4x100 m relay	MedalGold | 2002 | San Antonio

Continental Cup
4x100 m relay	MedalGold | 2010 | Split

"	Neutral	
1001	Count the different events in which Tatjana Schoenmaker improved his medal color in any later iterations of any tournament, including non-consecutive cycles	2	Tatjana Schoenmaker		"Tatjana Schoenmaker

Personal Information
Birth Date
1997-7-9	

Birth Place
Johannesburg	

Height
178 cm	

Weight
63  kg	

Country Representing: RSA
Olympic Games
200 m breaststroke	MedalGold | 2020 | Tokyo
100 m breaststroke	MedalSilver | 2020 | Tokyo

World Championships (LC)
200 m breaststroke	MedalGold | 2023 | Fukuoka, MedalSilver | 2019 | Gwangju
100 m breaststroke	MedalSilver | 2023 | Fukuoka

Commonwealth Games
100 m breaststroke	MedalGold | 2018 | Gold Coast, MedalSilver | 2022 | Birmingham
200 m breaststroke	MedalGold | 2018 | Gold Coast, MedalGold | 2022 | Birmingham

African Games
50 m breaststroke	MedalGold | 2015 | Brazzaville
100 m breaststroke	MedalGold | 2015 | Brazzaville
200 m breaststroke	MedalGold | 2015 | Brazzaville

Summer Universiade
100 m breaststroke	MedalGold | 2019 | Naples
200 m breaststroke	MedalGold | 2019 | Naples, MedalSilver | 2017 | Taipei

African Youth Games
50 m breaststroke	MedalGold | 2014 | Gaborone
100 m breaststroke	MedalGold | 2014 | Gaborone

African Junior Championships
50 m breaststroke	MedalGold | 2013 | Lusaka
100 m breaststroke	MedalGold | 2013 | Lusaka
200 m breaststroke	MedalGold | 2013 | Lusaka
4x100 m freestyle	MedalGold | 2013 | Lusaka
4x200 m freestyle	MedalGold | 2013 | Lusaka
4x100 m medley	MedalGold | 2013 | Lusaka

"		130.0
44	Which was the most successful year for Tomokazu Harimoto in terms of highest Gold Medal wins?	2016	Tomokazu Harimoto	TableTennis	"Tomokazu Harimoto

Personal Information
Birth Date
2003-6-27	

Birth Place
Sendai	

Height
1.78 m	

Weight
64  kg	

Country Representing: JPN
Olympic Games
Team	MedalBronze | 2020 | Tokyo

World Championships
Mixed doubles	MedalSilver | 2021 | Houston, MedalSilver | 2023 | Durban
Team	MedalBronze | 2022 | Chengdu

World Cup
Team	MedalSilver | 2018 | London
Singles	MedalSilver | 2019 | Chengdu, MedalBronze | 2024 | Macao
Mixed team	MedalBronze | 2023 | Chengdu

WTT Cup Finals
Singles	MedalSilver | 2021 | Singapore, MedalSilver | 2022 | Xinxiang

ITTF World Tour Grand Finals
Singles	MedalGold | 2018 | Incheon

Asian Championships
Team	MedalBronze | 2017 | Wuxi, MedalBronze | 2019 | Yogyakarta
Singles	MedalBronze | 2019 | Yogyakarta

Asian Cup
Singles	MedalGold | 2022 | Bangkok

Summer Youth Olympics
Singles	MedalSilver | 2018 | Buenos Aires
Mixed team	MedalSilver | 2018 | Buenos Aires

World Junior Championships
Singles	MedalGold | 2016 | Cape Town
Team	MedalGold | 2016 | Cape Town
Doubles	MedalSilver | 2016 | Cape Town

Asian Junior Championships
Team	MedalGold | 2016 | Bangkok
Singles	MedalSilver | 2016 | Bangkok

"	Neutral	
3	List all the formats in which Wang Yilyu has won medals in ?	Mixed team, Mixed doubles, Mixed team , Boys' doubles, Men's team, Men's doubles , Mixed doubles , Men's team	Wang Yilyu	Badminton	"Wang Yilyu

Personal Information
Birth Date
1994-11-8	

Birth Place
Jiaxing	

Height
1.85 m	

Weight
70  kg	

Years Active

Handedness
Right	

Coach
	

Date Of Highest Ranking

Country Representing: CHN
Olympic Games
Mixed doubles	MedalGold | 2020 | Tokyo

World Championships
Mixed doubles	MedalSilver | 2018 | Nanjing, MedalBronze | 2019 | Basel, MedalBronze | 2022 | Tokyo

Sudirman Cup
Mixed team 	MedalGold | 2019 | Nanning, MedalGold | 2021 | Vantaa

Thomas Cup
Men's team 	MedalGold | 2018 | Bangkok, MedalSilver | 2020 | Aarhus

Asian Games
Men's team	MedalGold | 2018 | Jakarta
Mixed doubles	MedalBronze | 2018 | Jakarta

Asian Championships
Mixed doubles 	MedalGold | 2018 | Wuhan, MedalGold | 2019 | Wuhan, MedalSilver | 2022 | Manila, MedalBronze | 2017 | Wuhan
Men's doubles 	MedalSilver | 2017 | Wuhan, MedalBronze | 2018 | Wuhan

Summer Universiade
Men's doubles 	MedalSilver | 2015 | Gwangju
Mixed team 	MedalSilver | 2015 | Gwangju

World Junior Championships
Mixed team	MedalGold | 2012 | Chiba
Boys' doubles	MedalBronze | 2012 | Chiba
Mixed doubles	MedalBronze | 2012 | Chiba

Asian Junior Championships
Mixed doubles	MedalSilver | 2012 | Gimcheon
Mixed team 	MedalSilver | 2012 | Gimcheon

"	Neutral	
57	How many medals did Yu Yiting win in his early twenties ?	0	Yu Yiting	Swimming	"Yu Yiting

Personal Information
Birth Date
2005-9-5	

Birth Place
Changshan County	

Height
173 cm	

Weight

Country Representing: CHN
World Championships (LC)
4x100 m mixed freestyle	MedalGold | 2024 | Doha
200 m medley	MedalBronze | 2023 | Fukuoka, MedalBronze | 2024 | Doha

World Championships (SC)
200 m medley	MedalSilver | 2021 | Abu Dhabi
4x100 m medley	MedalBronze | 2021 | Abu Dhabi

Asian Games
200 m medley	MedalGold | 2022 | Hangzhou
400 m medley	MedalGold | 2022 | Hangzhou
4x100 m freestyle	MedalGold | 2022 | Hangzhou
50 m butterfly	MedalSilver | 2022 | Hangzhou

"	Neutral	
39	Which was the most current medal win for Simon Gauzy ?	2024  Busan World Championships in Team format	Simon Gauzy	TableTennis	"Simon Gauzy

Personal Information
Birth Date
1994-10-25	

Birth Place
Toulouse	

Height
1.82 m	

Country Representing: FRA
World Championships
Team	MedalSilver | 2024 | Busan

European Games
Team	MedalSilver | 2015 | Baku, MedalBronze | 2023 | Kraków

European Championships
Singles	MedalSilver | 2016 | Budapest
Team	MedalBronze | 2015 | Ekaterinburg, MedalBronze | 2017 | Luxembourg City, MedalBronze | 2019 | Nantes
Mixed doubles	MedalBronze | 2020 | Warsaw

Youth Olympic Games
Singles	MedalBronze | 2010 | Singapore

"	Neutral	
73	How many years passed between Kunlavut Vitidsarn's first and most recent International medal ?	7	Kunlavut Vitidsarn	Badminton	"Kunlavut Vitidsarn

Personal Information
Birth Date
2001-05-11	

Birth Place
Chonburi province	

Height
1.77 m	

Weight

Years Active

Handedness
Right	

Coach
	

Career Record
309 wins, 98 losses	

Date Of Highest Ranking
6 June 2023	

Country Representing: THA
World Championships
Men's singles	MedalGold | 2023 | Copenhagen, MedalSilver | 2022 | Tokyo

SEA Games
Men's team	MedalGold | 2021 | Vietnam
Men's singles	MedalGold | 2021 | Vietnam

World Junior Championships
Boys' singles	MedalGold | 2017 | Yogyakarta, MedalGold | 2018 | Markham, MedalGold | 2019 | Kazan
Mixed team	MedalBronze | 2016 | Bilbao, MedalBronze | 2019 | Kazan

Asian Junior Championships
Boys' singles	MedalGold | 2019 | Suzhou, MedalSilver | 2018 | Jakarta, MedalBronze | 2017 | Jakarta
Mixed team 	MedalGold | 2019 | Suzhou

Youth Olympic Games
Mixed team	MedalSilver | 2018 | Buenos Aires

"	Neutral	
